DOMAINPRODUCTGROUP,COUNTRY,PERIOD,REPORTINGCHANNEL,BRAND,Item,AIRPLAY,GOOGLECAST/HOME,CONSUMP STANDBY,CONSUMPTION W,CURVED SCREEN,DISPLAY TECHNOL,HD TYPES,LED,RESOLUTION,SCREEN FORMAT,Signal Source,HDMI STANDARD,SIZE/INCH,Smart TV,SMART TV UI,HDR & DOLBY VIS,OPERATING SYST.,DTSX/DOLATMOS,DTSVIX/DOLHEIVI,GPU SYNC,MINILED BACKLIT,OLED/QLED,SERIES,SMART CONNECT,VERTICAL FREQ.,VRR,WCG,FirstActivity,POSType/Channel,SALES UNITS,SALES VALUE EUR,SALES VALUE SAR,PRICE EUR,PRICE SAR,UNW. AVG. DISTRIBUTION SELLING,WGT. AVG. DISTRIBUTION SELLING
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,SAMSUNG,UA40J5200,NO AIRPLAY,,0.5,90,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T,VERSION UNKNOWN,40,SMART TV,SAMSUNG TIZEN,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U52,SMART APP CTRL.,N.A.,N.A.,NO WCG,OCTOBER 2015,MASS MERCHANDISERS/DIYSS,1,348,1429,348,1429,0.3,0.8
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,SAMSUNG,UA43T5300,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T/S,VERSION UNKNOWN,43,SMART TV,SAMSUNG TIZEN,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U53,SMART APP CTRL.,N.A.,N.A.,NO WCG,JANUARY 2022,MASS MERCHANDISERS/DIYSS,14.211,4939,19793,348,1393,8,26.2
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,SAMSUNG,UA43T5300,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T/S,VERSION UNKNOWN,43,SMART TV,SAMSUNG TIZEN,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U53,SMART APP CTRL.,N.A.,N.A.,NO WCG,JANUARY 2022,MASS MERCHANDISERS/DIYSS,441.8941,129687,532380,293,1205,0.6,23.7
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,SONY,KDL-32W600D,NO AIRPLAY,,0.5,45,NOT CURVED,LCD-DISPLAY,HD READY,LED,1366X768,16:09:00,DVB-T/T2/C,HDMI 1.4,32,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SONY W60,SMART APP CTRL.,N.A.,N.A.,NO WCG,APRIL 2018,MASS MERCHANDISERS/DIYSS,18.842,4411,17676,234,938,2.2,11.8
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,SONY,PRIVATE LABEL,NO AIRPLAY,,0.5,45,NOT CURVED,LCD-DISPLAY,HD READY,LED,1366X768,16:09:00,DVB-T/T2/C,HDMI 1.4,32,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SONY W60,SMART APP CTRL.,N.A.,N.A.,NO WCG,APRIL 2018,MASS MERCHANDISERS/DIYSS,2.7746,805,3303,290,1191,0.3,15.5
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,G-TEN,32 SMART,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,HD READY,LED,1366X768,16:09:00,N.A.,VERSION UNKNOWN,32,SMART TV,ANDR/GOOGLE TV,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,SEPTEMBER 2020,MASS MERCHANDISERS/DIYSS,3,229,917,76,306,0.7,0.5
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,G-TEN,32 SMART,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,HD READY,LED,1366X768,16:09:00,N.A.,VERSION UNKNOWN,32,SMART TV,ANDR/GOOGLE TV,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,SEPTEMBER 2020,MASS MERCHANDISERS/DIYSS,7.3421,626,2570,85,350,2,0.2
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,TCL,65P65US,NO AIRPLAY,,0.5,145,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/C,HDMI 2.0,65,SMART TV,OTHER SMART UI,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,JUNE 2018,MASS MERCHANDISERS/DIYSS,1,390,1599,390,1599,0.3,2.6
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,LG,49UH603V,NO AIRPLAY,,0.3,63,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,HDMI 2.0,49,SMART TV,LG WEB OS,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,LG U60,SMART APP CTRL.,N.A.,N.A.,NO WCG,JANUARY 2017,MASS MERCHANDISERS/DIYSS,1,219,899,219,899,0.3,1.4
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,TOSHIBA,65U7750,NO AIRPLAY,,0.49,155,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/C,HDMI 2.0,65,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,MARCH 2017,MASS MERCHANDISERS/DIYSS,1,292,1199,292,1199,0.3,1.7
